# verify_adder_gf64_vectors.txt — auto-generated by verify_adder_e24.py
# Format: gf64 E=24 M=39 W=64
# Each line: a_hex b_hex expected_hex
0000000000000000 0000000000000000 0000000000000000
0000000000000000 8000000000000000 0000000000000000
8000000000000000 0000000000000000 0000000000000000
3fffff8000000000 3fffff8000000000 4000000000000000
bfffff8000000000 3fffff8000000000 0000000000000000
3fffff8000000000 bfffff8000000000 0000000000000000
bfffff8000000000 bfffff8000000000 c000000000000000
3fffff8000000000 0000000000000000 3fffff8000000000
0000000000000000 3fffff8000000000 3fffff8000000000
bfffff8000000000 0000000000000000 bfffff8000000000
0000000000000000 bfffff8000000000 bfffff8000000000
3ffffe0000000000 3ffffe0000000000 3ffffe8000000000
bffffe0000000000 3ffffe0000000000 0000000000000000
3ffffe0000000000 3fffff8000000000 3fffff9000000000
3ffffe8000000000 3ffffe8000000000 3fffff0000000000
bffffe8000000000 3ffffe8000000000 0000000000000000
3ffffe8000000000 3fffff8000000000 3fffffa000000000
3fffff0000000000 3fffff0000000000 3fffff8000000000
bfffff0000000000 3fffff0000000000 0000000000000000
3fffff0000000000 3fffff8000000000 3fffffc000000000
4000000000000000 4000000000000000 4000008000000000
c000000000000000 4000000000000000 0000000000000000
4000000000000000 3fffff8000000000 4000004000000000
4000008000000000 4000008000000000 4000010000000000
c000008000000000 4000008000000000 0000000000000000
4000008000000000 3fffff8000000000 400000a000000000
4000010000000000 4000010000000000 4000018000000000
c000010000000000 4000010000000000 0000000000000000
4000010000000000 3fffff8000000000 4000011000000000
0000000000000001 0000000000000000 0000000000000001
0000000000000001 0000000000000001 0000000000000002
0000000000000001 3fffff8000000000 3fffff8000000000
8000000000000001 3fffff8000000000 3fffff8000000000
7fffffffffffffff 7fffffffffffffff 7fffffffffffffff
7fffffffffffffff 3fffff8000000000 7fffffffffffffff
ffffffffffffffff 7fffffffffffffff 0000000000000000
3fffff8000000000 0000000000000001 3fffff8000000000
3fffff7fffffffff 0000000000000000 3fffff7fffffffff
0000008000000000 0000000000000000 0000008000000000
bfffff8000000000 3fffff7fffffffff bfffeb8000000000
bfffff8000000000 3fffff7ffffffffe bfffec0000000000
bfffff8000000000 3fffff7ffffffffd bfffec4000000000
bfffff8000000000 3fffff7ffff80000 bffff50000000000
