00000 00000000
00001 1a800000
000d1 1e510000
001a2 1ed10000
00273 1f1cc000
00344 1f510000
00415 1f82a000
004e6 1f9cc000
00555 1faaa000
005b7 1fb6e000
00688 1fd10000
00759 1feb2000
007ff 1fffe000
0082a 2002a000
008fb 200fb000
009cc 201cc000
00a9d 2029d000
00b6e 2036e000
00c3f 2043f000
00d10 20510000
00de1 205e1000
00eb2 206b2000
00f83 20783000
00fff 207ff000
01000 20800000
01054 2082a000
01125 20892800
011f6 208fb000
012c7 20963800
01398 209cc000
01469 20a34800
0153a 20a9d000
0160b 20b05800
016dc 20b6e000
017ad 20bd6800
017ff 20bff800
0187e 20c3f000
0194f 20ca7800
01a20 20d10000
01af1 20d78800
01bc2 20de1000
01c93 20e49800
01d64 20eb2000
01e35 20f1a800
01f06 20f83000
01fd7 20feb800
01fff 20fff800
020a8 21054000
02179 210bc800
0224a 21125000
0231b 2118d800
023ec 211f6000
024bd 2125e800
0258e 212c7000
0265f 2132f800
02730 21398000
02801 21400800
028d2 21469000
029a3 214d1800
02a74 2153a000
02b45 215a2800
02c16 2160b000
02ce7 21673800
02db8 216dc000
02e89 21744800
02f5a 217ad000
0302b 21815800
030fc 2187e000
031cd 218e6800
0329e 2194f000
0336f 219b7800
03440 21a20000
03511 21a88800
035e2 21af1000
036b3 21b59800
03784 21bc2000
03855 21c2a800
03926 21c93000
039f7 21cfb800
03ac8 21d64000
03b99 21dcc800
03c6a 21e35000
03d3b 21e9d800
03e0c 21f06000
03edd 21f6e800
03fae 21fd7000
0407f 2203f800
04150 220a8000
04221 22110800
042f2 22179000
043c3 221e1800
04494 2224a000
04565 222b2800
04636 2231b000
04707 22383800
047d8 223ec000
048a9 22454800
0497a 224bd000
04a4b 22525800
04b1c 2258e000
04bed 225f6800
04cbe 2265f000
04d8f 226c7800
04e60 22730000
04f31 22798800
05002 22801000
050d3 22869800
051a4 228d2000
05275 2293a800
05346 229a3000
05417 22a0b800
054e8 22a74000
055b9 22adc800
0568a 22b45000
0575b 22bad800
0582c 22c16000
058fd 22c7e800
059ce 22ce7000
05a9f 22d4f800
05b70 22db8000
05c41 22e20800
05d12 22e89000
05de3 22ef1800
05eb4 22f5a000
05f85 22fc2800
06056 2302b000
06127 23093800
061f8 230fc000
062c9 23164800
0639a 231cd000
0646b 23235800
0653c 2329e000
0660d 23306800
066de 2336f000
067af 233d7800
06880 23440000
06951 234a8800
06a22 23511000
06af3 23579800
06bc4 235e2000
06c95 2364a800
06d66 236b3000
06e37 2371b800
06f08 23784000
06fd9 237ec800
070aa 23855000
0717b 238bd800
0724c 23926000
0731d 2398e800
073ee 239f7000
074bf 23a5f800
07590 23ac8000
07661 23b30800
07732 23b99000
07803 23c01800
078d4 23c6a000
079a5 23cd2800
07a76 23d3b000
07b47 23da3800
07c18 23e0c000
07ce9 23e74800
07dba 23edd000
07e8b 23f45800
07f5c 23fae000
0802d 24016800
080fe 2407f000
081cf 240e7800
082a0 24150000
08371 241b8800
08442 24221000
08513 24289800
085e4 242f2000
086b5 2435a800
08786 243c3000
08857 2442b800
08928 24494000
089f9 244fc800
08aca 24565000
08b9b 245cd800
08c6c 24636000
08d3d 2469e800
08e0e 24707000
08edf 2476f800
08fb0 247d8000
09081 24840800
09152 248a9000
09223 24911800
092f4 2497a000
093c5 249e2800
09496 24a4b000
09567 24ab3800
09638 24b1c000
09709 24b84800
097da 24bed000
098ab 24c55800
0997c 24cbe000
09a4d 24d26800
09b1e 24d8f000
09bef 24df7800
09cc0 24e60000
09d91 24ec8800
09e62 24f31000
09f33 24f99800
0a004 25002000
0a0d5 2506a800
0a1a6 250d3000
0a277 2513b800
0a348 251a4000
0a419 2520c800
0a4ea 25275000
0a5bb 252dd800
0a68c 25346000
0a75d 253ae800
0a82e 25417000
0a8ff 2547f800
0a9d0 254e8000
0aaa1 25550800
0ab72 255b9000
0ac43 25621800
0ad14 2568a000
0ade5 256f2800
0aeb6 2575b000
0af87 257c3800
0b058 2582c000
0b129 25894800
0b1fa 258fd000
0b2cb 25965800
0b39c 259ce000
0b46d 25a36800
0b53e 25a9f000
0b60f 25b07800
0b6e0 25b70000
0b7b1 25bd8800
0b882 25c41000
0b953 25ca9800
0ba24 25d12000
0baf5 25d7a800
0bbc6 25de3000
0bc97 25e4b800
0bd68 25eb4000
0be39 25f1c800
0bf0a 25f85000
0bfdb 25fed800
0c0ac 26056000
0c17d 260be800
0c24e 26127000
0c31f 2618f800
0c3f0 261f8000
0c4c1 26260800
0c592 262c9000
0c663 26331800
0c734 2639a000
0c805 26402800
0c8d6 2646b000
0c9a7 264d3800
0ca78 2653c000
0cb49 265a4800
0cc1a 2660d000
0cceb 26675800
0cdbc 266de000
0ce8d 26746800
0cf5e 267af000
0d02f 26817800
0d100 26880000
0d1d1 268e8800
0d2a2 26951000
0d373 269b9800
0d444 26a22000
0d515 26a8a800
0d5e6 26af3000
0d6b7 26b5b800
0d788 26bc4000
0d859 26c2c800
0d92a 26c95000
0d9fb 26cfd800
0dacc 26d66000
0db9d 26dce800
0dc6e 26e37000
0dd3f 26e9f800
0de10 26f08000
0dee1 26f70800
0dfb2 26fd9000
0e083 27041800
0e154 270aa000
0e225 27112800
0e2f6 2717b000
0e3c7 271e3800
0e498 2724c000
0e569 272b4800
0e63a 2731d000
0e70b 27385800
0e7dc 273ee000
0e8ad 27456800
0e97e 274bf000
0ea4f 27527800
0eb20 27590000
0ebf1 275f8800
0ecc2 27661000
0ed93 276c9800
0ee64 27732000
0ef35 2779a800
0f006 27803000
0f0d7 2786b800
0f1a8 278d4000
0f279 2793c800
0f34a 279a5000
0f41b 27a0d800
0f4ec 27a76000
0f5bd 27ade800
0f68e 27b47000
0f75f 27baf800
0f830 27c18000
0f901 27c80800
0f9d2 27ce9000
0faa3 27d51800
0fb74 27dba000
0fc45 27e22800
0fd16 27e8b000
0fde7 27ef3800
0feb8 27f5c000
0ff89 27fc4800
1005a 2802d000
1012b 28095800
101fc 280fe000
102cd 28166800
1039e 281cf000
1046f 28237800
10540 282a0000
10611 28308800
106e2 28371000
107b3 283d9800
10884 28442000
10955 284aa800
10a26 28513000
10af7 2857b800
10bc8 285e4000
10c99 2864c800
10d6a 286b5000
10e3b 2871d800
10f0c 28786000
10fdd 287ee800
110ae 28857000
1117f 288bf800
11250 28928000
11321 28990800
113f2 289f9000
114c3 28a61800
11594 28aca000
11665 28b32800
11736 28b9b000
11807 28c03800
118d8 28c6c000
119a9 28cd4800
11a7a 28d3d000
11b4b 28da5800
11c1c 28e0e000
11ced 28e76800
11dbe 28edf000
11e8f 28f47800
11f60 28fb0000
12031 29018800
12102 29081000
121d3 290e9800
122a4 29152000
